Are you a current William and Mary Student?,What is your Social Class?,Which of the following pancake houses or brunch restaurants have you visited?,Number of locations,Shorty's Diner,Colonial Pancake House,Southern Pancake and Waffle House,Capitol Pancake House,Old Chickahominy House, Broken Egg Cafe,Mama Steve's House of Pancakes,Not Another Pancake house,The Smokey Griddle,Astronomical Pancake House,Sandy's Pancake and Waffle house,First Watch,Honey Butter's Kitchen,Baker's Crust Artisan Kitchen,IHOP,Tipsy Beans Cafe,Five Forks Cafe,Pancake house freq,Coffee Shop freq,Dining Hall freq,Bakery freq,Brunch Restaurant freq,Fast Food freq,pancakes_waffles
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Capitol Pancake House, Mama Steve's House of Pancakes, Not Another Pancake house, First Watch, Baker's Crust Artisan Kitchen, Tipsy Beans Cafe",7,,excellent,,excellent,,,poor,poor,,,,good,,good,,neutral,,every month,every week,every week,rarely,every month,every week,Waffles
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, First Watch, Five Forks Cafe",3,,excellent,,,,,,,,,,neutral,,,,,good,,,,,,,Waffles
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Southern Pancake and Waffle House, Capitol Pancake House, Mama Steve's House of Pancakes, Not Another Pancake house",6,excellent,excellent,excellent,good,,,,,,,,,,,,,,rarely,every month,every week,at least once a semester,rarely,rarely,Pancakes
I am a current William and Mary student,Class of 2024,Southern Pancake and Waffle House,1,,good,excellent,,,,,,,,,very poor,,,,neutral,,at least once a semester,every month,every week,every month,at least once a semester,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, First Watch, Honey Butter's Kitchen, Tipsy Beans Cafe",5,excellent,good,,,,,,,,,,neutral,good,,,excellent,,at least once a semester,rarely,rarely,at least once a semester,at least once a semester,at least once a semester,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Not Another Pancake house, Astronomical Pancake House, First Watch",5,good,good,,,,,,excellent,,,,good,,,,,,at least once a semester,every week,every week,every week,,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Astronomical Pancake House, First Watch, Tipsy Beans Cafe",3,,,,,,,,,,excellent,,neutral,,,,good,,every month,every week,at least once a semester,every month,every month,at least once a semester,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Southern Pancake and Waffle House, Capitol Pancake House, Another Broken Egg Cafe, Not Another Pancake house, The Smokey Griddle, Astronomical Pancake House, First Watch, Baker's Crust Artisan Kitchen, IHOP (Williamsburg location), Tipsy Beans Cafe",11,neutral,,excellent,neutral,,good,,good,excellent,excellent,,excellent,,neutral,good,excellent,,every month,every month,every month,every month,every month,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Astronomical Pancake House, Tipsy Beans Cafe",3,,neutral,,,,,,,,excellent,,,,,,poor,,at least once a semester,every week,every week,at least once a semester,at least once a semester,at least once per year,Pancakes
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Capitol Pancake House, Another Broken Egg Cafe, Not Another Pancake house, First Watch, Honey Butter's Kitchen, IHOP (Williamsburg location), Tipsy Beans Cafe, Five Forks Cafe",9,,good,,good,,neutral,,excellent,,,,excellent,excellent,,neutral,,excellent,at least once per year,every month,rarely,at least once per year,at least once a semester,every week,Waffles
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Another Broken Egg Cafe, Not Another Pancake house, The Smokey Griddle, Astronomical Pancake House, First Watch, Honey Butter's Kitchen, Baker's Crust Artisan Kitchen, IHOP (Williamsburg location), Tipsy Beans Cafe",11,poor,good,,,,excellent,,excellent,excellent,good,,good,good,,neutral,good,,every month,every week,rarely,every month,every month,every month,Waffles
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Capitol Pancake House, Another Broken Egg Cafe, Mama Steve's House of Pancakes, Astronomical Pancake House, First Watch, Honey Butter's Kitchen",7,,excellent,,excellent,,excellent,excellent,,,good,,good,good,,,,,every month,every week,every week,every month,every month,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Tipsy Beans Cafe",2,excellent,,,,,,,,,,,,,,,excellent,,at least once a semester,every week,every week,every month,at least once a semester,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Capitol Pancake House, Astronomical Pancake House, IHOP (Williamsburg location)",5,good,good,,excellent,,,,,,excellent,,,,,,,,at least once per year,at least once a semester,rarely,rarely,at least once a semester,every month,Waffles
I am a current William and Mary student,Class of 2024,"Southern Pancake and Waffle House, IHOP (Williamsburg location)",2,,,excellent,,,,,,,,,,,,neutral,,,at least once a semester,every week,rarely,at least once per year,rarely,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Capitol Pancake House, Old Chickahominy House, Another Broken Egg Cafe, First Watch, Tipsy Beans Cafe",6,,good,,good,good,good,,,,,,excellent,,,,excellent,,,every month,,every month,at least once a semester,rarely,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Capitol Pancake House, Mama Steve's House of Pancakes, Not Another Pancake house, Astronomical Pancake House, IHOP (Williamsburg location), Five Forks Cafe",8,excellent,excellent,,very poor,,,neutral,good,,good,,,,,neutral,,good,at least once per year,every week,rarely,every month,at least once a semester,rarely,Pancakes
I am a current William and Mary student,Class of 2024,"Southern Pancake and Waffle House, Not Another Pancake house",2,,,neutral,,,,,excellent,,,,,,,,,,at least once per year,every month,every week,every month,at least once per year,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Capitol Pancake House, Astronomical Pancake House, First Watch",3,,,,good,,,,,,excellent,,good,,,,,,at least once a semester,every month,every week,at least once a semester,at least once per year,every month,Waffles
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Capitol Pancake House, Another Broken Egg Cafe, Mama Steve's House of Pancakes, Not Another Pancake house, First Watch, IHOP (Williamsburg location)",8,good,good,,neutral,,poor,poor,good,,,,neutral,,,poor,,,at least once a semester,every week,every week,every month,rarely,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Capitol Pancake House, Old Chickahominy House, Another Broken Egg Cafe, Mama Steve's House of Pancakes, Not Another Pancake house, Astronomical Pancake House, First Watch, Baker's Crust Artisan Kitchen, IHOP (Williamsburg location), Tipsy Beans Cafe, Five Forks Cafe",13,excellent,excellent,,good,neutral,good,good,good,,good,,good,,good,very poor,excellent,excellent,every month,every month,rarely,at least once a semester,at least once a semester,every month,Waffles
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, First Watch, IHOP (Williamsburg location)",3,,good,,,,,,,,,,excellent,,,poor,,,at least once per year,every month,rarely,every month,at least once a semester,every month,Waffles
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Capitol Pancake House, Another Broken Egg Cafe, Mama Steve's House of Pancakes, First Watch, IHOP (Williamsburg location), Tipsy Beans Cafe",7,,excellent,,good,,very poor,poor,,,,,poor,,,poor,good,,,every week,every week,every week,at least once a semester,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Mama Steve's House of Pancakes, Not Another Pancake house, First Watch, Tipsy Beans Cafe",6,excellent,good,,,,,neutral,good,,,,excellent,,,,excellent,,at least once a semester,every week,every week,every month,every month,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Southern Pancake and Waffle House, Capitol Pancake House, Astronomical Pancake House, Honey Butter's Kitchen",6,good,excellent,excellent,good,,,,,,very poor,,,neutral,,,,,every month,every month,every week,at least once a semester,every week,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Capitol Pancake House, Another Broken Egg Cafe, Mama Steve's House of Pancakes, Astronomical Pancake House, First Watch, IHOP (Williamsburg location), Tipsy Beans Cafe",9,good,good,,excellent,,excellent,neutral,,,excellent,,excellent,,,neutral,good,,at least once a semester,every month,rarely,every week,every month,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Another Broken Egg Cafe, Mama Steve's House of Pancakes, Not Another Pancake house, First Watch, Honey Butter's Kitchen, Tipsy Beans Cafe",7,,neutral,,,,good,poor,excellent,,,,neutral,good,,,good,,every month,every week,every week,rarely,at least once per year,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Not Another Pancake house, Astronomical Pancake House, IHOP (Williamsburg location), Tipsy Beans Cafe",5,excellent,,,,,,,excellent,,good,,,,,good,excellent,,every month,,,,every month,,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Not Another Pancake house, The Smokey Griddle, Astronomical Pancake House, First Watch, Baker's Crust Artisan Kitchen",7,excellent,excellent,,,,,,neutral,neutral,good,,neutral,,neutral,,,,every month,every week,at least once a semester,every week,every month,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Capitol Pancake House, Astronomical Pancake House, First Watch, Baker's Crust Artisan Kitchen",5,,excellent,,excellent,,,,,,excellent,,,,very poor,,neutral,,every month,every week,rarely,rarely,rarely,at least once a semester,Pancakes
I am a current William and Mary student,Class of 2024,"Another Broken Egg Cafe, Mama Steve's House of Pancakes, Not Another Pancake house, The Smokey Griddle, Astronomical Pancake House",5,,,,,,excellent,neutral,neutral,excellent,good,,,,,,,,every month,every month,every week,every month,at least once a semester,every month,Waffles
I am a current William and Mary student,Class of 2024,"Colonial Pancake House, Capitol Pancake House, Old Chickahominy House, Not Another Pancake house, Astronomical Pancake House",5,,good,,excellent,excellent,,,neutral,,neutral,,,,,,,,every month,every week,every week,at least once a semester,at least once a semester,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Another Broken Egg Cafe, Mama Steve's House of Pancakes, Not Another Pancake house, Astronomical Pancake House, First Watch, Baker's Crust Artisan Kitchen",6,,,,,,very poor,good,excellent,,excellent,,neutral,,neutral,,,,at least once a semester,every week,every week,every month,at least once a semester,at least once a semester,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Another Broken Egg Cafe, The Smokey Griddle",3,excellent,,,,,neutral,,,good,,,,,,,,,rarely,every month,at least once a semester,at least once a semester,every month,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Capitol Pancake House, First Watch, IHOP (Williamsburg location), Tipsy Beans Cafe",6,poor,good,neutral,poor,neutral,neutral,neutral,neutral,neutral,neutral,neutral,good,neutral,neutral,good,good,neutral,every month,every week,every week,"every week, every month",every month,every week,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Capitol Pancake House, Another Broken Egg Cafe, Astronomical Pancake House, First Watch, Honey Butter's Kitchen, Tipsy Beans Cafe",7,good,,,,,poor,,,,neutral,,neutral,good,,,excellent,,every week,every month,rarely,every month,every month,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Capitol Pancake House, Astronomical Pancake House, IHOP (Williamsburg location)",5,excellent,good,neutral,good,neutral,neutral,neutral,neutral,neutral,excellent,neutral,neutral,neutral,neutral,good,neutral,neutral,at least once a semester,every week,at least once a semester,rarely,at least once a semester,every month,Pancakes
I am a current William and Mary student,Class of 2024,"Shorty's Diner, Colonial Pancake House, Capitol Pancake House, Mama Steve's House of Pancakes, Not Another Pancake house, First Watch, Tipsy Beans Cafe",7,neutral,excellent,,very poor,,,good,poor,,,,excellent,,,,excellent,,every week,every week,every week,every week,rarely,at least once a semester,Pancakes
I am a current William and Mary student,Class of 2024,"Old Chickahominy House, Another Broken Egg Cafe, Mama Steve's House of Pancakes, Tipsy Beans Cafe",4,,,,,excellent,good,very poor,,,,,,,,,excellent,,rarely,every week,at least once a semester,every month,every month,every month,Waffles
I am a current William and Mary student,Class of 2025,"Colonial Pancake House, Southern Pancake and Waffle House, Capitol Pancake House, Mama Steve's House of Pancakes, IHOP (Williamsburg location)",5,,excellent,good,good,,,good,,,,,,,,neutral,,,every month,every week,rarely,rarely,every month,every month,Pancakes
I am a current William and Mary student,Class of 2025,"Colonial Pancake House, Another Broken Egg Cafe, Mama Steve's House of Pancakes, Astronomical Pancake House, Honey Butter's Kitchen, Tipsy Beans Cafe",6,,excellent,,,,good,neutral,,,good,,,excellent,,,good,,at least once per year,every week,every week,every week,rarely,rarely,Pancakes
